,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
14,frozenset({'Ozark'}),frozenset({'Deception'}),0.7380952380952381,0.47619047619047616,0.35714285714285715,0.48387096774193544,1.0161290322580645,0.0056689342403628,1.0148809523809526,0.06060606060606048
15,frozenset({'Deception'}),frozenset({'Ozark'}),0.47619047619047616,0.7380952380952381,0.35714285714285715,0.7500000000000001,1.0161290322580645,0.0056689342403628,1.047619047619048,0.030303030303030234
16,frozenset({'Ozark'}),frozenset({'Berlin Station'}),0.7380952380952381,0.4523809523809524,0.35714285714285715,0.48387096774193544,1.0696095076400678,0.023242630385487517,1.0610119047619049,0.2484848484848484
17,frozenset({'Berlin Station'}),frozenset({'Ozark'}),0.4523809523809524,0.7380952380952381,0.35714285714285715,0.7894736842105263,1.0696095076400678,0.023242630385487517,1.2440476190476188,0.11884057971014486
27,frozenset({'Family Guy'}),frozenset({'The Blacklist'}),0.4523809523809524,0.6428571428571429,0.3333333333333333,0.7368421052631579,1.1461988304093567,0.042517006802721025,1.3571428571428568,0.23291925465838473
35,frozenset({'Shadow and Bone'}),frozenset({'The Blacklist'}),0.47619047619047616,0.6428571428571429,0.3333333333333333,0.7,1.0888888888888888,0.02721088435374147,1.1904761904761902,0.1558441558441557
34,frozenset({'The Blacklist'}),frozenset({'Shadow and Bone'}),0.6428571428571429,0.47619047619047616,0.3333333333333333,0.5185185185185185,1.0888888888888888,0.02721088435374147,1.0879120879120878,0.2285714285714284
33,frozenset({'Deception'}),frozenset({'Atypical'}),0.47619047619047616,0.5714285714285714,0.3333333333333333,0.7,1.225,0.06122448979591838,1.4285714285714284,0.35064935064935077
32,frozenset({'Atypical'}),frozenset({'Deception'}),0.5714285714285714,0.47619047619047616,0.3333333333333333,0.5833333333333334,1.225,0.06122448979591838,1.2571428571428573,0.42857142857142866
31,frozenset({'Shadow and Bone'}),frozenset({'Ozark'}),0.47619047619047616,0.7380952380952381,0.3333333333333333,0.7,0.9483870967741934,-0.018140589569161036,0.8730158730158728,-0.09411764705882372
30,frozenset({'Ozark'}),frozenset({'Shadow and Bone'}),0.7380952380952381,0.47619047619047616,0.3333333333333333,0.4516129032258064,0.9483870967741934,-0.018140589569161036,0.9551820728291316,-0.17204301075268852
29,frozenset({'The Blacklist'}),frozenset({'Mr. Robot'}),0.6428571428571429,0.5,0.3333333333333333,0.5185185185185185,1.037037037037037,0.011904761904761862,1.0384615384615383,0.09999999999999966
28,frozenset({'Mr. Robot'}),frozenset({'The Blacklist'}),0.5,0.6428571428571429,0.3333333333333333,0.6666666666666666,1.037037037037037,0.011904761904761862,1.0714285714285712,0.07142857142857117
23,frozenset({'Ozark'}),"frozenset({'The Blacklist', 'Atypical'})",0.7380952380952381,0.42857142857142855,0.3333333333333333,0.4516129032258064,1.053763440860215,0.0170068027210884,1.042016806722689,0.19480519480519443
26,frozenset({'The Blacklist'}),frozenset({'Family Guy'}),0.6428571428571429,0.4523809523809524,0.3333333333333333,0.5185185185185185,1.1461988304093567,0.042517006802721025,1.1373626373626373,0.35714285714285665
24,frozenset({'The Blacklist'}),frozenset({'Demon Slayer'}),0.6428571428571429,0.47619047619047616,0.3333333333333333,0.5185185185185185,1.0888888888888888,0.02721088435374147,1.0879120879120878,0.2285714285714284
22,frozenset({'Atypical'}),"frozenset({'The Blacklist', 'Ozark'})",0.5714285714285714,0.5,0.3333333333333333,0.5833333333333334,1.1666666666666667,0.047619047619047616,1.2000000000000002,0.3333333333333333
